Paquete,base,StableDif,bigquery,bipic,blablacar,crewai,django,eda_dataprep,flowise,hispasonic,jupyterbook,kaggle,perception_scraper,praisonai,report_generator,rstudio,sonus,sqlite,synth_data,tf_env,time_series
backcall,❌,❌,❌,❌,❌,❌,❌,✅,❌,✅,❌,✅,❌,❌,❌,✅,❌,❌,❌,✅,❌
backports,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌
backports.functools_lru_cache,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌
backports.zoneinfo,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
bcrypt,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌
beautifulsoup4,❌,❌,❌,✅,❌,❌,❌,✅,❌,✅,✅,✅,✅,❌,❌,✅,✅,❌,❌,✅,❌
bigquery-magics,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
billiard,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
binaryornot,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
blas,❌,❌,✅,✅,❌,❌,❌,❌,❌,✅,❌,✅,❌,❌,❌,❌,❌,❌,❌,✅,❌
bleach,❌,❌,❌,✅,❌,❌,❌,✅,❌,✅,❌,✅,✅,❌,❌,✅,✅,❌,❌,✅,❌
blinker,❌,❌,✅,✅,✅,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
blosc,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
bokeh,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
boltons,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,✅,❌,❌,❌
boost-cpp,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
bottleneck,❌,❌,✅,✅,❌,❌,❌,✅,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
branca,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
brotli,❌,❌,✅,❌,❌,❌,❌,✅,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌
brotli-bin,❌,❌,✅,❌,❌,❌,❌,✅,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌
brotlipy,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
brotli-python,✅,❌,✅,✅,✅,❌,❌,✅,❌,❌,✅,✅,✅,❌,❌,✅,✅,✅,❌,✅,❌
bzip2,✅,❌,✅,✅,✅,❌,✅,✅,✅,❌,✅,✅,✅,✅,❌,✅,✅,✅,❌,❌,❌
ca-certificates,✅,❌,✅,✅,✅,❌,✅,✅,✅,✅,✅,✅,✅,✅,❌,✅,✅,✅,❌,✅,❌
cached-property,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,✅,❌,❌,❌,❌,✅,❌,❌,❌,❌
cached_property,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,✅,❌,❌,❌,❌,✅,❌,❌,❌,❌
cachetools,❌,❌,✅,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌
cairo,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,✅,✅,❌,❌,❌,❌,❌,❌,❌,❌
